paintId,Name,Brand,hexColorCode,matchValue
266,BanebladeBrown," Citadel"," #99826b"," 4.67"
267,YrielYellow," Citadel"," #ffda00"," 2.96"
268,UshabtiBone," Citadel"," #c6c180"," 5.20"
269,FlayedOneFlesh," Citadel"," #f3ca8a"," 6.08"
270,CeramiteWhite," Citadel"," #ffffff"," 9.69"
271,DarkReaper," Citadel"," #3B5150"," 9.16"
272,SteelLegionDrab," Citadel"," #695634"," 2.44"
273,LorenForest," Citadel"," #5b7426"," 4.51"
274,ZandriDust," Citadel"," #a89758"," 6.67"
275,Dawnstone," Citadel"," #7b7e74"," 10.05"
276,MacraggeBlue," Citadel"," #14397a"," 5.88"
277,TuskgorFur," Citadel"," #8e3734"," 3.26"
278,KislevFlesh," Citadel"," #dbad75"," 4.00"
279,CeramiteWhite," Citadel"," #ffffff"," 10.91"
280,CadianFleshtone," Citadel"," #cb7953"," 2.95"
281,AlaitocBlue," Citadel"," #2e5689"," 5.56"
282,BugmansGlow," Citadel"," #8c5144"," 3.47"
283,GorthorBrown," Citadel"," #6e4e46"," 3.74"
284,SybariteGreen," Citadel"," #36a062"," 4.74"
285,RussGrey," Citadel"," #55768a"," 4.09"
286,DeathclawBrown," Citadel"," #ba6952"," 11.98"
287,PinkHorror," Citadel"," #96325c"," 5.15"
288,SquigOrange," Citadel"," #b04d3e"," 5.05"
289,KislevFlesh," Citadel"," #dbad75"," 4.66"
290,FlayedOneFlesh," Citadel"," #f3ca8a"," 5.84"
291,FlashGitzYellow," Citadel"," #ffee00"," 6.59"
292,DryadBark," Citadel"," #3b342e"," 10.69"
293,CeramiteWhite," Citadel"," #ffffff"," 0.00"
294,DornYellow," Citadel"," #FFF200"," 0.42"
295,YrielYellow," Citadel"," #ffda00"," 4.79"
296,FlashGitzYellow," Citadel"," #ffee00"," 8.48"
297,KislevFlesh," Citadel"," #dbad75"," 1.99"
298,TrollSlayerOrange," Citadel"," #eb641b"," 5.53"
299,TuskgorFur," Citadel"," #8e3734"," 5.70"
300,EmperorsChildren," Citadel"," #bd3f75"," 14.69"
301,PinkHorror," Citadel"," #96325c"," 9.44"
302,XereusPurple," Citadel"," #4b205c"," 5.22"
303,BlueHorror," Citadel"," #A2BAD2"," 11.01"
304,CaledorSky," Citadel"," #38689c"," 4.82"
305,CaledorSky," Citadel"," #38689c"," 9.73"
306,ThunderhawkBlue," Citadel"," #417074"," 4.78"
307,StegadonScaleGreen," Citadel"," #004261"," 8.19"
308,AhrimanBlue," Citadel"," #1F8C9C"," 1.68"
309,StrakenGreen," Citadel"," #6e8611"," 6.30"
310,Waaagh!Flesh," Citadel"," #275627"," 5.85"
311,KabaliteGreen," Citadel"," #008660"," 3.05"
312,WarbossGreen," Citadel"," #3b7d54"," 8.27"
313,GaussBlasterGreen," Citadel"," #84C3AA"," 9.53"
314,TempleGuardBlue," Citadel"," #35998e"," 9.08"
315,CelestraGrey," Citadel"," #9caeae"," 3.00"
316,SybariteGreen," Citadel"," #36a062"," 8.37"
317,DarkReaper," Citadel"," #3B5150"," 7.52"
318,ScreamingSkull," Citadel"," #d9d8a6"," 5.08"
319,ZandriDust," Citadel"," #a89758"," 4.31"
320,ZandriDust," Citadel"," #a89758"," 3.50"
321,DarkReaper," Citadel"," #3B5150"," 4.37"
322,IncubiDarkness," Citadel"," #094345"," 3.50"
323,RatskinFlesh," Citadel"," #AD6B4C"," 3.78"
324,TuskgorFur," Citadel"," #8e3734"," 3.65"
325,SteelLegionDrab," Citadel"," #695634"," 8.62"
326,GorthorBrown," Citadel"," #6e4e46"," 3.64"
