3765,3557,3.74
3765,2667,7.47
3765,3869,12.72
3765,3982,4.44
3727,3519,4.74
3727,3626,7.51
3727,3834,0.96
3727,3940,10.7
3719,3511,4.09
3719,3671,8.1
3719,3882,11.28
3719,3926,7.34
2332,3548,11.98
2332,3652,7.88
2332,3860,11.44
2332,3022,2.4
3699,3491,5.15
3699,3659,9.99
3699,3804,4.1
3699,3970,9.57
3697,3489,5.05
3697,3644,1.43
3697,2853,9.35
3697,3904,6.17
2335,3542,4.66
2335,3649,5.79
2335,3890,6.54
2335,3011,6.98
3686,3536,5.84
3686,3649,7.56
3686,3857,7.53
3686,3012,7.17
2337,3480,6.59
2337,2680,2.57
2337,3887,4.39
2337,3990,6.96
3670,3556,10.69
3670,2721,6.21
3670,3868,13.18
3670,3981,7.17
3685,3476,0
3685,3581,0
3685,3789,1.84
3685,3892,0
3783,3575,0.42
3783,3679,0.27
3783,3887,3.8
3783,3990,6.38
2341,3479,4.79
2341,3583,1.35
2341,3791,4
2341,3894,5.13
2342,3480,8.48
2342,2680,5.05
2342,3887,5.34
2342,3018,3.68
3750,3542,1.99
3750,3649,7.38
3750,3891,7.65
3750,3960,5.04
2344,3482,5.53
2344,2682,1.03
2344,3798,7.58
2344,3020,2.46
3692,3555,5.7
3692,2683,2.59
3692,3867,4.58
3692,3904,4.81
2346,3492,14.69
2346,2684,7.78
2346,2853,16.7
2346,3022,8.35
2347,3491,9.44
2347,3595,14.76
2347,3804,14.01
2347,3906,7.08
3701,3494,5.22
3701,3598,0.48
3701,3806,4.54
3701,3909,5.2
2349,3573,11.01
2349,2687,6.66
2349,3889,9.6
2349,3988,10.76
3713,3505,4.82
3713,3609,7.04
3713,3818,10.02
3713,3920,6.7
2351,3505,9.73
2351,3617,6.84
2351,3882,9.94
2351,3920,9.53
3724,3516,4.78
3724,3671,4.66
3724,3882,7.79
3724,3931,6.25
2353,3513,8.19
2353,3617,1.17
2353,3882,7.54
2353,3928,4.15
3717,3509,1.68
3717,3615,10.74
3717,3822,2.7
3717,3924,5.3
3737,3529,6.3
3737,3633,9.44
3737,3843,5.43
3737,3945,6.9
3731,3523,5.85
3731,3627,1.57
3731,3836,3.34
3731,3938,3.27
3732,3518,3.05
3732,3629,6.74
3732,3834,12.64
3732,3940,8.43
2358,3524,8.27
2358,2696,4.34
2358,3836,6.07
2358,3938,6.1
3785,3577,9.53
3785,3681,5.22
3785,3885,10.66
3785,3053,8.74
2360,3515,9.08
2360,3602,9.57
2360,3886,9.42
2360,3036,10.52
3770,3562,3
3770,3676,5.59
3770,3886,11.29
3770,3979,7.41
2362,3519,8.37
2362,3629,11.29
2362,3834,11.93
2362,3992,8.95
2363,3570,7.52
2363,3674,5.05
2363,3869,12.38
2363,3039,9.99
3743,3535,5.08
3743,3669,3
3743,3877,3.62
3743,3950,1.01
3041,3533,4.31
3041,3642,6.3
3041,3851,4.79
3041,3041,8.49
3741,3533,3.5
3741,3637,2.57
3741,3851,6.69
3741,3986,6.58
2367,3570,4.37
2367,2720,5.31
2367,3829,11.23
2367,3985,8.39
3725,3517,3.5
3725,2720,1.16
3725,3829,11.54
3725,3985,10.06
3756,3543,3.78
3756,3647,6.28
3756,3860,6.54
3756,3963,6.18
3763,3555,3.65
3763,3661,4.68
3763,3859,13.71
3763,3048,8.41
3759,3537,8.62
3759,3964,4.93
3759,3863,4.06
3759,3966,4.01
2372,3557,3.64
2372,3661,1.49
2372,3861,15.81
2372,3048,7.78
3762,3553,5.93
3762,3657,2.05
3762,3868,10.42
