XereusPurple, Citadel, #4b205c, 5.22
BlueHorror, Citadel, #A2BAD2, 11.01
CaledorSky, Citadel, #38689c, 4.82
CaledorSky, Citadel, #38689c, 9.73
ThunderhawkBlue, Citadel, #417074, 4.78
StegadonScaleGreen, Citadel, #004261, 8.19
AhrimanBlue, Citadel, #1F8C9C, 1.68
StrakenGreen, Citadel, #6e8611, 6.30
Waaagh!Flesh, Citadel, #275627, 5.85
KabaliteGreen, Citadel, #008660, 3.05
WarbossGreen, Citadel, #3b7d54, 8.27
GaussBlasterGreen, Citadel, #84C3AA, 9.53
TempleGuardBlue, Citadel, #35998e, 9.08
CelestraGrey, Citadel, #9caeae, 3.00
SybariteGreen, Citadel, #36a062, 8.37
DarkReaper, Citadel, #3B5150, 7.52
ScreamingSkull, Citadel, #d9d8a6, 5.08
ZandriDust, Citadel, #a89758, 4.31
ZandriDust, Citadel, #a89758, 3.50
DarkReaper, Citadel, #3B5150, 4.37
IncubiDarkness, Citadel, #094345, 3.50
RatskinFlesh, Citadel, #AD6B4C, 3.78
TuskgorFur, Citadel, #8e3734, 3.65
SteelLegionDrab, Citadel, #695634, 8.62
GorthorBrown, Citadel, #6e4e46, 3.64
RhinoxHide, Citadel, #4e3433, 5.93
PallidWychFlesh, Citadel, #d6d5c4, 6.90
AdministratumGrey, Citadel, #9da299, 5.94
DeathGuardArmor, Citadel, #848A66, 5.53
CelestraGrey, Citadel, #9caeae, 6.73
AdministratumGrey, Citadel, #9da299, 4.39
Dawnstone, Citadel, #7b7e74, 3.80
TheFang, Citadel, #457479, 7.67
CeramiteWhite, Citadel, #ffffff, 5.76
IncubiDarkness, Citadel, #094345, 4.94
IncubiDarkness, Citadel, #094345, 9.75
Tan, Vallejo-Game, #9f4746, 10.81
DwarfSkin, Vallejo-Game, #cc7c67, 3.63
BronzeFleshtone, Vallejo-Game, #db945c, 5.19
HeavyOrange, Vallejo-Game, #ee5527, 0.34
FluoYellow, Vallejo-Game, #eeea50, 8.87
HeavyBlue, Vallejo-Game, #29556d, 8.78
JadeGreen, Vallejo-Game, #128379, 8.17
SombreGrey, Vallejo-Game, #4c5c7d, 6.32
HeavyViolet, Vallejo-Game, #4c2e65, 1.97
SombreGrey, Vallejo-Game, #4c5c7d, 12.99
WarlordPurple, Vallejo-Game, #7d1a44, 5.47
DarkFleshtone, Vallejo-Game, #4f2b26, 6.48
CadmiumSkin, Vallejo-Game, #fab78a, 1.90
CharredBrown, Vallejo-Game, #39343b, 9.15
HotOrange, Vallejo-Game, #e43027, 2.42
Tan, Vallejo-Game, #9f4746, 3.63
HeavyKhaki, Vallejo-Game, #9d965d, 9.89
Offwhite, Vallejo-Game, #f5f4da, 5.84
HeavyWarmGrey, Vallejo-Game, #939066, 5.88
DarkFleshtone, Vallejo-Game, #4f2b26, 5.62
HeavyGreen, Vallejo-Game, #566840, 1.57
DarkFleshtone, Vallejo-Game, #4f2b26, 5.26
DesertYellow, Vallejo-Game, #8e7845, 5.33
HeavyBrown, Vallejo-Game, #705d41, 10.06
ScarletRed, Vallejo-Game, #741330, 7.02
ScorpionGreen, Vallejo-Game, #48b851, 6.54
HotOrange, Vallejo-Game, #e43027, 5.16
HeavyBrown, Vallejo-Game, #705d41, 9.36
GoblinGreen, Vallejo-Game, #23743c, 10.42
RosyFlesh, Vallejo-Game, #f89e84, 1.23
ColdGrey, Vallejo-Game, #54646d, 6.06
ElficFlesh, Vallejo-Game, #cdc29c, 1.13
FoulGreen, Vallejo-Game, #239378, 3.76
SombreGrey, Vallejo-Game, #4c5c7d, 8.56
SteelGrey, Vallejo-Game, #64889d, 10.38
ElectricBlue, Vallejo-Game, #008cbf, 3.03
HeavySkintone, Vallejo-Game, #aa7b62, 1.37
ElectricBlue, Vallejo-Game, #008cbf, 9.38
CadmiumSkin, Vallejo-Game, #fab78a, 4.91
HeavySienna, Vallejo-Game, #744642, 3.32
PaleYellow, Vallejo-Game, #d5c179, 4.60
MutationGreen, Vallejo-Game, #296934, 1.78
OrangeFire, Vallejo-Game, #f1652e, 0.84
HeavyOchre, Vallejo-Game, #a87536, 1.40
HeavyWarmGrey, Vallejo-Game, #939066, 9.41
FluoYellow, Vallejo-Game, #eeea50, 7.35
DarkFleshtone, Vallejo-Game, #4f2b26, 8.15
HeavyGoldBrown, Vallejo-Game, #ba8636, 4.85
